Id;SegmentIndex;VideoName;VideoMode;QuestionIndex;ExperimentSecond;DevicePosition;DeviceRotation;CombinedEyeDirection;CombinedEyeOrigin;LeftEyeOpeness;LeftEyeOrigin;LeftEyeDirection;LeftEyePositionInSensorArea;LeftEyePupilSize;RightEyeOpeness;RightEyeOrigin;RightEyeDirection;RightEyePositionInSensorArea;RightEyePupilSize;Phase;
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.960;(0.737, 1.256, -0.545);(2.045, 357.238, 356.880);(-0.298, -0.011, 0.955);(31.153, 2.232, -24.866);0.87;(31.294, 2.230, -24.863);(-0.298, -0.011, 0.954);(0.521, 0.493, 0.000);4.00;0.78;(-30.524, 3.151, -26.158);(-0.013, -0.011, 1.000);(0.503, 0.460, 0.000);4.41;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.982;(0.737, 1.256, -0.546);(2.007, 357.234, 356.893);(-0.254, -0.010, 0.967);(20.937, 2.375, -25.081);0.86;(31.295, 2.219, -24.863);(-0.300, -0.010, 0.954);(0.521, 0.493, 0.000);4.02;0.80;(-30.530, 3.151, -26.164);(-0.016, -0.009, 1.000);(0.504, 0.460, 0.000);4.41;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.005;(0.737, 1.256, -0.546);(1.961, 357.217, 356.881);(-0.165, -0.010, 0.986);(1.378, 2.667, -25.485);0.88;(31.297, 2.215, -24.855);(-0.302, -0.010, 0.953);(0.521, 0.493, 0.000);4.04;0.81;(-30.531, 3.149, -26.158);(-0.017, -0.010, 1.000);(0.504, 0.460, 0.000);4.41;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.027;(0.737, 1.256, -0.546);(1.929, 357.203, 356.885);(-0.160, -0.011, 0.987);(-0.013, 2.687, -25.513);0.87;(31.297, 2.213, -24.851);(-0.304, -0.010, 0.953);(0.522, 0.494, 0.000);4.04;0.81;(-30.535, 3.149, -26.159);(-0.016, -0.011, 1.000);(0.504, 0.460, 0.000);4.41;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.051;(0.737, 1.256, -0.546);(1.899, 357.174, 356.905);(-0.160, -0.011, 0.987);(0.316, 2.681, -25.510);0.89;(31.298, 2.210, -24.853);(-0.303, -0.013, 0.953);(0.522, 0.494, 0.000);4.04;0.79;(-30.545, 3.149, -26.165);(-0.014, -0.010, 1.000);(0.504, 0.460, 0.000);4.43;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.085;(0.737, 1.257, -0.546);(1.835, 357.163, 356.934);(-0.167, -0.012, 0.986);(2.026, 2.658, -25.497);0.87;(31.298, 2.210, -24.863);(-0.302, -0.013, 0.953);(0.521, 0.494, 0.000);4.07;0.78;(-30.550, 3.157, -26.203);(-0.013, -0.011, 1.000);(0.504, 0.460, 0.000);4.43;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.108;(0.737, 1.257, -0.546);(1.781, 357.160, 356.937);(-0.174, -0.011, 0.985);(3.505, 2.638, -25.486);0.89;(31.299, 2.209, -24.873);(-0.302, -0.011, 0.953);(0.521, 0.494, 0.000);4.09;0.78;(-30.555, 3.165, -26.236);(-0.013, -0.012, 1.000);(0.505, 0.460, 0.000);4.45;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.131;(0.737, 1.257, -0.546);(1.734, 357.146, 356.952);(-0.176, -0.012, 0.984);(3.639, 2.638, -25.499);0.88;(31.300, 2.208, -24.889);(-0.304, -0.012, 0.953);(0.522, 0.494, 0.000);4.11;0.81;(-30.558, 3.169, -26.254);(-0.013, -0.012, 1.000);(0.505, 0.460, 0.000);4.45;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.154;(0.737, 1.257, -0.546);(1.701, 357.118, 356.941);(-0.169, -0.012, 0.986);(2.290, 2.662, -25.559);0.89;(31.300, 2.209, -24.904);(-0.304, -0.011, 0.953);(0.522, 0.494, 0.000);4.14;0.81;(-30.567, 3.176, -26.300);(-0.011, -0.011, 1.000);(0.505, 0.461, 0.000);4.46;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;1.176;(0.737, 1.257, -0.546);(1.677, 357.103, 356.928);(-0.194, -0.013, 0.981);(7.500, 2.585, -25.459);0.89;(31.301, 2.207, -24.904);(-0.305, -0.013, 0.952);(0.522, 0.495, 0.000);4.16;0.79;(-30.571, 3.188, -26.347);(-0.011, -0.013, 1.000);(0.505, 0.461, 0.000);4.47;Countdown
