sep=;
date;systemTime;marker;HMDPosition;HMDRotation;objectId;objectPosition;agentExpression;CombinedGazePosition;CombinedGazeOrigin;LeftEyeOpenness;LeftEyeOrigin;LeftEyeForward;LeftEyePupilPosition;LeftEyePupilSize;RightEyeOpenness;RightEyeOrigin;RightEyeForward;RightEyePupilPosition;RightEyePupilSize;FocusDistance;FocusPoint;FocusNormal
12/5/2023 3:52:13 PM;1701787933814;;(-0.048, 1.261, -0.023);(10.198, 0.235, 356.814);;;;(-32.859, 1.280, -41.852);(-0.216, -0.078, 0.973);0.4960285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.00, -1.00);-1;0.5390227;(-32.859, 1.280, -41.852);(-0.216, -0.078, 0.973);(0.61, 0.68);2.113892;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933837;;(-0.048, 1.261, -0.023);(10.162, 0.654, 356.697);;;;(-33.002, -0.173, -33.561);(-0.239, -0.084, 0.967);0.5027136;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.64, 0.63);-1;0.5245342;(-33.002, -0.173, -33.561);(-0.239, -0.084, 0.967);(0.61, 0.65);2.650421;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933860;;(-0.047, 1.261, -0.023);(10.108, 1.080, 356.632);;;;(-32.964, -0.239, -33.341);(-0.227, -0.052, 0.972);0.6401269;(29.886, 0.096, -32.579);(-0.289, 0.011, 0.957);(0.64, 0.60);3.210098;0.6436879;(-32.964, -0.239, -33.341);(-0.227, -0.052, 0.972);(0.61, 0.64);3.074142;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933881;;(-0.046, 1.261, -0.022);(10.055, 1.581, 356.582);;;;(-32.942, -0.356, -33.060);(-0.257, -0.011, 0.966);0.6994078;(29.932, -0.117, -31.902);(-0.276, -0.044, 0.960);(0.64, 0.61);2.913971;0.7258251;(-32.942, -0.356, -33.060);(-0.257, -0.011, 0.966);(0.61, 0.64);3.363998;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933905;;(-0.045, 1.261, -0.022);(10.003, 2.043, 356.522);;;;(-32.885, -0.352, -33.068);(-0.245, 0.007, 0.970);0.7648013;(29.972, -0.004, -32.294);(-0.254, -0.016, 0.967);(0.63, 0.61);3.281219;0.8029976;(-32.885, -0.352, -33.068);(-0.245, 0.007, 0.970);(0.61, 0.63);3.559189;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933925;;(-0.045, 1.261, -0.022);(9.972, 2.541, 356.506);;;;(-24.543, -0.050, -33.895);(-0.224, -0.001, 0.975);0.8422925;(30.022, -0.077, -32.129);(-0.247, 0.001, 0.969);(0.63, 0.61);3.256851;0.8990042;(-32.851, -0.046, -34.164);(-0.221, -0.001, 0.975);(0.60, 0.63);3.429092;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933948;;(-0.044, 1.262, -0.022);(9.927, 3.029, 356.511);;;;(-19.481, -0.138, -33.499);(-0.233, -0.004, 0.972);0.8616148;(30.073, -0.077, -32.166);(-0.247, -0.005, 0.969);(0.62, 0.61);3.317856;0.9524092;(-32.818, -0.154, -33.858);(-0.230, -0.004, 0.973);(0.60, 0.64);3.523804;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933970;;(-0.043, 1.262, -0.022);(9.862, 3.448, 356.524);;;;(-0.298, -0.140, -32.931);(-0.232, -0.001, 0.973);0.8740948;(30.122, -0.114, -32.112);(-0.245, 0.001, 0.969);(0.62, 0.61);3.412521;0.979572;(-32.755, -0.167, -33.804);(-0.218, -0.003, 0.976);(0.60, 0.64);3.495117;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933992;;(-0.042, 1.262, -0.022);(9.788, 3.836, 356.525);;;;(-7.399, -0.185, -33.054);(-0.223, 0.002, 0.975);0.8980054;(30.172, -0.164, -32.032);(-0.229, -0.005, 0.973);(0.62, 0.61);3.414276;1;(-32.708, -0.200, -33.743);(-0.219, 0.007, 0.976);(0.60, 0.63);3.578308;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934015;;(-0.042, 1.262, -0.022);(9.698, 4.234, 356.491);;;;(-22.043, -0.156, -33.583);(-0.211, -0.007, 0.977);0.916649;(30.238, -0.279, -31.746);(-0.219, -0.007, 0.976);(0.61, 0.61);3.428268;1;(-32.671, -0.131, -33.957);(-0.210, -0.007, 0.978);(0.59, 0.64);3.47226;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934037;;(-0.041, 1.262, -0.022);(9.576, 4.664, 356.468);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.8738916;(30.507, 3.747, -48.402);(-0.222, -0.191, 0.956);(0.62, 0.67);3.711853;0.9536175;(-32.700, 0.231, -34.846);(-0.217, -0.020, 0.976);(0.60, 0.63);3.508301;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934060;;(-0.041, 1.262, -0.022);(9.464, 5.123, 356.460);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.4594828;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.68, 0.73);-1;0.536642;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.00, -1.00);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934082;;(-0.040, 1.262, -0.022);(9.376, 5.587, 356.469);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.4063726;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.00, -1.00);-1;0.4546535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.72, 0.91);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934104;;(-0.039, 1.262, -0.022);(9.261, 6.063, 356.451);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.4236262;(28.763, -0.157, -31.101);(-0.748, -0.215, 0.627);(0.76, 0.65);4.240448;0.4273525;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.00, -1.00);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934125;;(-0.038, 1.262, -0.022);(9.126, 6.600, 356.462);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.4941781;(28.869, 0.077, -31.845);(-0.463, 0.015, 0.886);(0.70, 0.60);3.39682;0.5491534;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.68, 0.63);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934148;;(-0.037, 1.263, -0.022);(9.049, 7.134, 356.453);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);0.7308577;(28.950, 0.380, -32.654);(-0.437, 0.005, 0.899);(0.70, 0.60);3.485779;0.7658842;(-33.904, -0.758, -31.367);(-0.460, 0.056, 0.886);(0.68, 0.63);3.652863;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934171;;(-0.037, 1.263, -0.022);(8.936, 7.620, 356.450);;;;(-2.421, -0.119, -32.348);(-0.423, 0.045, 0.905);0.8072491;(29.020, 0.301, -32.496);(-0.418, 0.032, 0.908);(0.69, 0.59);3.598999;0.8682051;(-33.863, -0.539, -32.200);(-0.428, 0.057, 0.902);(0.67, 0.63);3.671555;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934192;;(-0.036, 1.263, -0.022);(8.834, 8.066, 356.460);;;;(-33.827, -0.455, -32.513);(-0.417, 0.056, 0.907);0.8454821;(29.072, -0.352, -30.615);(-0.424, 0.049, 0.904);(0.69, 0.59);3.595978;0.9064337;(-33.829, -0.455, -32.513);(-0.417, 0.056, 0.907);(0.67, 0.63);3.797073;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934214;;(-0.035, 1.263, -0.023);(8.746, 8.451, 356.447);;;;(-23.564, -0.432, -32.258);(-0.409, 0.056, 0.911);0.9082358;(29.136, -0.301, -30.871);(-0.398, 0.042, 0.916);(0.68, 0.60);3.562592;0.9916283;(-33.769, -0.457, -32.526);(-0.411, 0.059, 0.910);(0.67, 0.63);3.828186;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934237;;(-0.035, 1.263, -0.023);(8.644, 8.808, 356.435);;;;(-26.191, -0.458, -32.346);(-0.403, 0.061, 0.913);0.9155722;(29.151, -0.366, -31.008);(-0.394, 0.069, 0.916);(0.68, 0.60);3.532013;0.9974253;(-33.727, -0.471, -32.528);(-0.405, 0.059, 0.913);(0.66, 0.63);3.846725;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:14 PM;1701787934259;;(-0.034, 1.264, -0.023);(8.537, 9.145, 356.424);;;;(-16.197, -0.469, -31.974);(-0.401, 0.053, 0.914);0.9589666;(29.212, -0.331, -30.879);(-0.392, 0.051, 0.918);(0.68, 0.60);3.482452;0.9886362;(-33.667, -0.521, -32.395);(-0.405, 0.054, 0.913);(0.66, 0.63);3.76889;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
